mes,c_llm,c_llm_mediana,ep,ep_iid,n_itens,n_dias,d2_media,taxa_d2_sem_sinal,d3_media,taxa_d3_sem_sinal,c_llm_trunc
2016-03,0.4834558823529412,0.5,0.007613845932757966,0.007002472856451787,136,27,2.8947368421052633,0.4411764705882353,2.6226415094339623,0.6102941176470589,0.4834558823529412
2016-04,0.498015873015873,0.5,0.005979089136595392,0.0034457608485861002,126,26,3.22,0.6031746031746031,3.027027027027027,0.7063492063492064,0.498015873015873
2016-05,0.5017361111111112,0.5,0.010316625614892366,0.0046070638698719095,144,28,3.8117647058823527,0.4097222222222222,3.3934426229508197,0.5763888888888888,0.5017361111111112
2016-06,0.5106951871657754,0.5,0.012599138988335477,0.005632879547911345,187,26,3.7422680412371134,0.48128342245989303,3.4,0.6256684491978609,0.5106951871657754
2016-07,0.5177514792899408,0.5,0.01333371202619886,0.006492364878015599,169,26,3.857142857142857,0.5857988165680473,3.525,0.7633136094674556,0.5177514792899408
2016-08,0.5064935064935064,0.5,0.010992421631894103,0.004561294536923837,77,25,3.4193548387096775,0.5974025974025974,3.24,0.6753246753246753,0.5064935064935064
2016-09,0.555327868852459,0.5,0.010528574240389787,0.009434766961326826,122,25,3.9583333333333335,0.6065573770491803,3.4375,0.8688524590163934,0.555327868852459
2016-10,0.5662393162393162,0.5,0.011751518673470475,0.011106434210328435,117,23,3.725806451612903,0.4700854700854701,3.1363636363636362,0.811965811965812,0.5662393162393162
2016-11,0.5300925925925926,0.5,0.01077383920563963,0.009136758885663926,108,20,3.7027027027027026,0.6574074074074074,3.142857142857143,0.8055555555555556,0.5300925925925926
2016-12,0.5827067669172933,0.5,0.019755151949569935,0.010580188769107051,133,22,3.859154929577465,0.46616541353383456,3.1379310344827585,0.7819548872180451,0.5827067669172933
2017-01,0.6064593301435407,0.5,0.013386077402506412,0.009372544340766342,209,22,4.291666666666667,0.5406698564593302,3.210526315789474,0.9090909090909091,0.6064593301435407
2017-02,0.6157024793388429,0.5,0.01785946154178737,0.013135145401350308,121,19,3.9019607843137254,0.5785123966942148,3.111111111111111,0.8512396694214877,0.6157024793388429
2017-03,0.65,0.5,0.02237880137752577,0.013991048592435213,150,28,4.421052631578948,0.62,3.6923076923076925,0.9133333333333333,0.65
2017-04,0.6318897637795275,0.5,0.023487836947177737,0.01335334656781726,127,24,3.9464285714285716,0.562992125984252,3.2222222222222223,0.8622047244094488,0.6318897637795275
2017-05,0.6372549019607843,0.5,0.02403201608509032,0.013306292010554823,153,29,4.093333333333334,0.5098039215686274,3.413793103448276,0.8104575163398693,0.6372549019607843
2017-06,0.6383248730964467,0.5,0.023610834093086133,0.011428511611656617,197,26,3.965909090909091,0.5532994923857868,3.3636363636363638,0.7766497461928934,0.6383248730964467
2017-07,0.6276978417266187,0.5,0.023524314804823473,0.014745721771752514,139,26,4.216216216216216,0.7338129496402878,3.5555555555555554,0.935251798561151,0.6276978417266187
2017-08,0.6365131578947368,0.5,0.029112594446565734,0.01416437999901672,152,29,4.321428571428571,0.631578947368421,3.45,0.868421052631579,0.6365131578947368
2017-09,0.6767015706806283,0.75,0.027853190557719596,0.0142303433768868,191,26,4.4375,0.6649214659685864,3.111111111111111,0.9528795811518325,0.6767015706806283
2017-10,0.6285310734463276,0.5,0.026221971430762367,0.014179559315611781,177,28,4.2615384615384615,0.632768361581921,3.875,0.8192090395480226,0.6285310734463276
2017-11,0.5851063829787234,0.5,0.02178541581102185,0.015384751117187298,94,22,4.3478260869565215,0.7553191489361702,3.8333333333333335,0.8723404255319149,0.5851063829787234
2017-12,0.6404320987654321,0.5,0.028514837791313398,0.016078498861694743,162,22,4.2063492063492065,0.6111111111111112,3.3157894736842106,0.8827160493827161,0.6404320987654321
2018-01,0.6124031007751938,0.5,0.022022093744001017,0.020397804685097765,129,24,4.048780487804878,0.6821705426356589,3.7777777777777777,0.8604651162790697,0.6124031007751938
2018-02,0.625,0.5,0.022276854747999203,0.01262433067573089,172,25,4.0,0.6414728682170542,3.5789473684210527,0.8934108527131784,0.625
2018-03,0.6565265486725663,0.5,0.024004938481001797,0.012476919372374691,226,24,4.072916666666667,0.577433628318584,3.533333333333333,0.8672566371681416,0.6565265486725663
2018-04,0.6215753424657534,0.5,0.018261168626512524,0.014217983235849338,146,25,4.226415094339623,0.636986301369863,3.6666666666666665,0.7945205479452054,0.6215753424657534
2018-05,0.560377358490566,0.5,0.01526121135664546,0.008269304271889771,265,29,3.2777777777777777,0.45660377358490567,3.2653061224489797,0.8150943396226416,0.560377358490566
2018-06,0.5298245614035088,0.5,0.011173858522825066,0.005956239425242259,285,26,3.298449612403101,0.3991228070175439,3.2222222222222223,0.6859649122807018,0.5298245614035088
2018-07,0.5213178294573644,0.5,0.007624771189660706,0.006171385272702037,129,28,3.2888888888888888,0.6511627906976745,3.1142857142857143,0.7286821705426356,0.5213178294573644
2018-08,0.5391304347826087,0.5,0.014199479981125033,0.009562963467889898,115,23,3.230769230769231,0.6608695652173913,3.0689655172413794,0.7478260869565218,0.5391304347826087
2018-09,0.534965034965035,0.5,0.008963977443733827,0.007687941419951708,143,25,3.3404255319148937,0.6713286713286714,2.935483870967742,0.7832167832167832,0.534965034965035
2018-10,0.553030303030303,0.5,0.012158382524609395,0.011504486810318893,99,26,3.725,0.5959595959595959,3.425,0.5959595959595959,0.553030303030303
2018-11,0.5551948051948052,0.5,0.016948071337573294,0.010363981418829812,154,23,4.013513513513513,0.5194805194805194,3.579710144927536,0.551948051948052,0.5551948051948052
2018-12,0.6146408839779005,0.5,0.02045854063825874,0.012764935350703064,181,24,3.9224137931034484,0.6795580110497238,3.6923076923076925,0.7845303867403315,0.6146408839779005
2019-01,0.5534188034188035,0.5,0.016608039142785955,0.01128572357599161,117,26,4.296296296296297,0.7692307692307693,4.076923076923077,0.7777777777777778,0.5534188034188035
2019-02,0.6028225806451613,0.5,0.016799018026923098,0.011338934559367736,186,27,3.8133333333333335,0.5967741935483871,3.4215686274509802,0.7311827956989247,0.6028225806451613
2019-03,0.5603197674418605,0.5,0.013576088177382704,0.009360969555172979,172,23,3.6296296296296298,0.686046511627907,3.3333333333333335,0.7732558139534884,0.5603197674418605
2019-04,0.5171232876712328,0.5,0.011360379824890066,0.007551404005077081,146,26,3.52,0.8287671232876712,4.071428571428571,0.8082191780821918,0.5171232876712328
2019-05,0.532103825136612,0.5,0.007481623103041307,0.00645907585817385,183,28,3.4727272727272727,0.6994535519125683,3.25,0.7814207650273224,0.532103825136612
2019-06,0.5787037037037037,0.5,0.011619892645210995,0.008205375556643205,270,24,3.542105263157895,0.65,3.0208333333333335,0.8222222222222222,0.5787037037037037
2019-07,0.5677655677655677,0.5,0.011150322014700552,0.007672578998741789,273,29,3.6923076923076925,0.7619047619047619,3.1176470588235294,0.9377289377289377,0.5677655677655677
2019-08,0.5561538461538461,0.5,0.010964629211148784,0.0072518735881418024,325,28,3.709090909090909,0.6615384615384615,3.4029850746268657,0.7938461538461539,0.5561538461538461
2019-09,0.5960187353629977,0.5,0.010525523951422094,0.00700982330244955,427,27,3.892857142857143,0.6721311475409836,3.1702127659574466,0.8899297423887588,0.5960187353629977
2019-10,0.5971074380165289,0.5,0.011400286586371822,0.008396581801801884,363,27,3.855769230769231,0.7134986225895317,3.090909090909091,0.9090909090909091,0.5971074380165289
